"Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Status de veiculação","Nível de veiculação",Alcance,Impressões,Frequência,"Configuração de atribuição","Tipo de resultado",Resultados,"Valor usado (BRL)","Custo por resultado",Início,Término,"CPM (custo por 1.000 impressões)","Retorno sobre o investimento em publicidade (ROAS) das compras feitas no site","Valor de conversão das compras diretas no site","Valor de conversão da compra no site","Valor médio de conversão de compra","Valor de conversão de finalizações de compra iniciadas no site","Início dos relatórios","Término dos relatórios"
"[CBO] Vendas - Imagens UK [28.02.26]","Conjunto - Vendas teste  UK [28.02.26]","CRIATIVO VIDEO 01",inactive,ad,39,65,1.66666667,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,9.53,,2026-02-28,Contínuo,146.61538462,,0,,,,2026-02-13,2026-03-14
"Reconhecimento 03/02/2026","Conjunto Reconhecimento 03/02/2026",AD3,not_delivering,ad,4045,4118,1.01804697,"Clique de 7 dias ou visualização de 1 dia",Alcance,4045,8.44,2.08652658,2026-02-03,Contínuo,2.04953861,,0,,,,2026-02-13,2026-03-14
fmv_venda_adv_09.03.26,reino_unido_ig,AD07_Img_UK10,active,ad,34,38,1.11764706,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,7.01,,2026-03-09,Contínuo,184.47368421,,0,,,,2026-02-13,2026-03-14
fmv_venda_adv_06.03.26,reino_unido_ig,AD05_Video_Men,inactive,ad,22,25,1.13636364,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,4.9,,2026-03-06,Contínuo,196,,0,,,,2026-02-13,2026-03-14
"Tráfego 06/02/2026","Conjunto de Tráfego 06/02/2026",AD5,not_delivering,ad,455,455,1,"Clique de 7 dias ou visualização de 1 dia","Visualizações da página de destino",7,4.8,0.68571429,2026-02-07,Contínuo,10.54945055,,0,,,,2026-02-13,2026-03-14
"Tráfego 06/02/2026","Conjunto de Tráfego 06/02/2026",AD1,not_delivering,ad,392,396,1.01020408,"Clique de 7 dias ou visualização de 1 dia","Visualizações da página de destino",5,3.54,0.708,2026-02-07,Contínuo,8.93939394,,0,,,,2026-02-13,2026-03-14
"Reconhecimento 03/02/2026","Conjunto Reconhecimento 03/02/2026",AD5,not_delivering,ad,1609,1609,1,"Clique de 7 dias ou visualização de 1 dia",Alcance,1609,3.08,1.91423244,2026-02-03,Contínuo,1.91423244,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 5","[CBO] Imagem - AD 03",inactive,ad,15,15,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,2.54,,2026-02-12,Contínuo,169.33333333,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 10","[CBO] Imagem - AD 05",not_delivering,ad,35,49,1.4,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,2.41,,2026-02-12,Contínuo,49.18367347,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 9","[CBO] Imagem - AD 01",inactive,ad,5,5,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,1.78,,2026-02-12,Contínuo,356,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 9","[CBO] Imagem - AD 03",inactive,ad,14,14,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,1.71,,2026-02-12,Contínuo,122.14285714,,0,,,,2026-02-13,2026-03-14
fmv_venda_adv_09.03.26,reino_unido_ig,AD05_Video_Men,inactive,ad,9,13,1.44444444,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,1.64,,2026-03-09,Contínuo,126.15384615,,0,,,,2026-02-13,2026-03-14
"Tráfego 06/02/2026","Conjunto de Tráfego 06/02/2026",AD3,not_delivering,ad,105,105,1,"Clique de 7 dias ou visualização de 1 dia","Visualizações da página de destino",2,1.57,0.785,2026-02-07,Contínuo,14.95238095,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas - Imagens [26.02.26] 02","[CBO] Imagens - Conj 2","[CBO] IMAGEM - AD22",inactive,ad,4,4,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,1.51,,2026-02-26,Contínuo,377.5,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 8","[CBO] Imagem - AD 04",not_delivering,ad,16,18,1.125,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,1.5,,2026-02-12,Contínuo,83.33333333,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 5","[CBO] Imagem - AD 01",inactive,ad,11,11,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,1.45,,2026-02-12,Contínuo,131.81818182,,0,,,,2026-02-13,2026-03-14
fmv_venda_adv_09.03.26,reino_unido_ig,AD03_IMG_3_Premium_Shirt,inactive,ad,9,11,1.22222222,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,1.45,,2026-03-09,Contínuo,131.81818182,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 2","[CBO] Imagem - AD 03",inactive,ad,11,11,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,1.33,,2026-02-12,Contínuo,120.90909091,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 10","[CBO] Imagem - AD 10",inactive,ad,6,7,1.16666667,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,1.14,,2026-02-12,Contínuo,162.85714286,,0,,,,2026-02-13,2026-03-14
"Reconhecimento 03/02/2026","Conjunto Reconhecimento 03/02/2026",AD4,not_delivering,ad,411,411,1,"Clique de 7 dias ou visualização de 1 dia",Alcance,411,1.12,2.72506083,2026-02-03,Contínuo,2.72506083,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas - Imagens [26.02.26] 02","[CBO] Imagens - Conj 2","[CBO] IMAGEM - AD21",inactive,ad,4,4,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,1.11,,2026-02-26,Contínuo,277.5,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 1","[CBO] Imagem - AD 03",inactive,ad,3,3,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,1.05,,2026-02-12,Contínuo,350,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas - Imagens [26.02.26] 02","[CBO] Imagens - Conj 2","[CBO] IMAGEM - AD20",inactive,ad,8,9,1.125,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,1.01,,2026-02-26,Contínuo,112.22222222,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas - Imagens [26.02.26] 01","[CBO] Imagens - Conj 1","[CBO] IMAGEM - AD19",inactive,ad,4,7,1.75,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.99,,2026-02-26,Contínuo,141.42857143,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 9","[CBO] Imagem - AD 07",inactive,ad,2,3,1.5,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.97,,2026-02-12,Contínuo,323.33333333,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 4","[CBO] Imagem - AD 03",inactive,ad,5,5,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.72,,2026-02-12,Contínuo,144,,0,,,,2026-02-13,2026-03-14
"Reconhecimento 03/02/2026","Conjunto Reconhecimento 03/02/2026",AD2,not_delivering,ad,247,247,1,"Clique de 7 dias ou visualização de 1 dia",Alcance,247,0.66,2.67206478,2026-02-03,Contínuo,2.67206478,,0,,,,2026-02-13,2026-03-14
