"Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Status de veiculação","Nível de veiculação",Alcance,Impressões,Frequência,"Configuração de atribuição","Tipo de resultado",Resultados,"Valor usado (BRL)","Custo por resultado",Início,Término,"CPM (custo por 1.000 impressões)","Retorno sobre o investimento em publicidade (ROAS) das compras feitas no site","Valor de conversão das compras diretas no site","Valor de conversão da compra no site","Valor médio de conversão de compra","Valor de conversão de finalizações de compra iniciadas no site","Início dos relatórios","Término dos relatórios"
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 5","[CBO] Imagem - AD 04",not_delivering,ad,1,1,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.09,,2026-02-12,Contínuo,90,,0,,,,2026-02-13,2026-03-14
fmv_venda_adv_09.03.26,reino_unido_ig,AD08_Img_UK04,active,ad,1,1,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.09,,2026-03-09,Contínuo,90,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 2","[CBO] Imagem - AD 04",inactive,ad,1,1,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.09,,2026-02-12,Contínuo,90,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 7","[CBO] Imagem - AD 07",inactive,ad,1,1,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.08,,2026-02-12,Contínuo,80,,0,,,,2026-02-13,2026-03-14
fmv_venda_adv_06.03.26,reino_unido_ig,AD06_Video_Men,active,ad,2,2,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.08,,2026-03-06,Contínuo,40,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 4","[CBO] Imagem - AD 05",not_delivering,ad,4,4,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.08,,2026-02-12,Contínuo,20,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 2","[CBO] Imagem - AD 01",inactive,ad,3,3,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.08,,2026-02-12,Contínuo,26.66666667,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 6","[CBO] Imagem - AD 02",inactive,ad,1,1,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.07,,2026-02-12,Contínuo,70,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 7","[CBO] Imagem - AD 02",inactive,ad,4,4,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.06,,2026-02-12,Contínuo,15,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 2","[CBO] Imagem - AD 07",inactive,ad,2,2,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.05,,2026-02-12,Contínuo,25,,0,,,,2026-02-13,2026-03-14
"Reconhecimento 03/02/2026","Conjunto Reconhecimento 03/02/2026",AD1,not_delivering,ad,21,21,1,"Clique de 7 dias ou visualização de 1 dia",Alcance,21,0.04,1.9047619,2026-02-03,Contínuo,1.9047619,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 4","[CBO] Imagem - AD 07",inactive,ad,1,1,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.03,,2026-02-12,Contínuo,30,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 7","[CBO] Imagem - AD 01",inactive,ad,4,8,2,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.03,,2026-02-12,Contínuo,3.75,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 4","[CBO] Imagem - AD 02",inactive,ad,1,3,3,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,,2026-02-12,Contínuo,0,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 3","[CBO] Imagem - AD 02",inactive,ad,1,1,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,,2026-02-12,Contínuo,0,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 4","[CBO] Imagem - AD 04",inactive,ad,1,2,2,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,,2026-02-12,Contínuo,0,,0,,,,2026-02-13,2026-03-14
